id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Horizon,Aster Vale,r&b,sensual,0.58,96,0.68,0.74,0.44
12,Afterglow Avenue,Glass Harbor,city pop,nostalgic,0.64,102,0.72,0.77,0.31
13,Desert Voltage,Static Mirage,electronic,energetic,0.89,128,0.66,0.86,0.12
14,Sunday Paperback,Maple Window,folk,calm,0.33,84,0.70,0.49,0.91
15,Blue Hour Signals,Lunar Static,dream pop,dreamy,0.47,92,0.63,0.68,0.57
16,River Lanterns,Cedar & Pine,country,warm,0.52,98,0.74,0.61,0.73
17,Steel Pulse Theory,Vector Riot,metal,aggressive,0.95,166,0.38,0.59,0.04
18,Golden Sidewalk,Brass District,funk,groovy,0.79,114,0.83,0.88,0.26
19,Dawn Mantra,Saffron Tide,world,meditative,0.29,68,0.62,0.42,0.87
20,Cityline Sermon,Nova Verse,hip hop,confident,0.81,100,0.76,0.85,0.19
